id,parseerror_distances,not_parseerror_distances
26899,[],"[0, 0, 0, 189, 0, 0, 0, 0, 3, 0, 0, 538, 0, 0, 491, 0, 0, 392, 0, 0, 18, 0, 8793, 39, 33, 33, 10745, 57, 42, 42, 42, 84, 18217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27033,"[0, 0, 10, 23, 100, 65, 165, 3, 49, 67]","[815, 668, 0, 15617, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 2, 0, 83, 0, 3, 1, 0, 3, 0, 0, 1, 0, 0, 3, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 143, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0]"
26948,"[15, 108, 9, 4]",[]
26957,[],[]
26961,"[0, 0, 0, 4, 0, 0, 0, 0, 2, 3357]","[0, 1287]"
26977,"[296, 299, 172, 287, 287, 287, 346, 0, 0, 0, 469, 0, 265, 0, 3030, 735]","[924, 431, 0, 802, 802, 0, 802]"
26987,[],"[176, 131, 156, 104, 194, 137, 210, 188, 109, 117, 0, 0, 115, 110, 138, 0, 157, 580, 668, 740]"
27002,"[749, 2, 0, 36, 0, 5, 14, 0, 2, 0, 28, 30, 31, 12, 0, 0, 1, 20, 9, 4, 2112, 30, 27, 32, 4, 172, 85, 1, 19, 1]","[0, 186, 325, 141, 0, 137, 151, 270, 0, 87]"
27008,[],"[0, 5055, 91, 11, 5210, 45, 273, 176, 116, 271, 247, 350, 45, 223, 180, 208, 216, 0, 131, 299, 849, 1081]"
27027,[],[161]
27208,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27045,"[8792, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27360,[0],"[27, 0, 0, 27, 27, 0, 0, 0, 0, 0, 0, 761, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27086,[],[8681]
27636,[],"[160, 131, 158, 104, 196, 137, 210, 190, 109, 0, 117, 115]"
27169,[],"[195, 131, 156, 103, 196, 0, 139, 210, 188, 109, 117, 113, 0, 114, 140, 159, 0, 578, 662, 768]"
27326,[],"[1, 0, 2219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27223,"[268, 57, 0]",[123]
27275,[],"[489, 18, 499, 42, 18, 21, 30, 36, 45, 48, 0, 0, 128, 179, 42, 36, 42, 45, 30, 33, 93, 135, 111]"
27302,"[0, 8, 472]",[]
27323,[],"[5165, 151, 147, 240, 238, 97, 205, 151, 221, 0, 172, 120, 115, 114, 125, 0, 114, 172, 599, 683, 0, 742, 742]"
27322,[0],"[0, 338, 0, 203, 176, 134, 158, 511, 493, 0, 317, 418, 386, 276, 295, 0, 298, 285, 283, 344, 886, 1445, 1132, 28133, 2, 28298]"
27329,[],"[164, 133, 158, 103, 194, 139, 210, 188, 110, 115, 115, 112, 140, 157, 578, 664, 765]"
27389,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27414,"[242, 9, 9, 22, 149, 6, 6, 12, 0, 1625, 0, 0, 78, 0, 49, 0, 468, 0, 161, 238, 0, 1729, 128, 146, 77, 105, 52, 0, 105, 0, 54, 0, 0, 79, 1, 248, 83, 5, 53, 4, 4, 125, 1853]","[0, 4, 547, 0, 0, 10927, 1687, 0, 122, 2, 3, 0, 1, 2, 0, 2, 17, 0, 0, 0]"
