id,parseerror_distances,not_parseerror_distances
zYMTBzSqRmibWhkCJ,"[9, 10, 2, 0, 5]","[9, 11, 70, 18, 1, 15, 7, 19, 7, 2, 2, 6, 4, 7, 11, 7, 7, 13, 7, 0, 65, 13, 23, 44, 19, 5, 42, 7, 21, 7, 22, 9, 5, 7, 24, 8, 11, 57, 0, 0, 21, 32, 4, 23, 11, 2, 27, 11, 13, 39, 7, 14, 15, 1, 0, 58, 0, 0, 7, 0, 27, 5, 28, 7, 4, 28, 25, 7, 7, 25, 7, 5, 37, 7, 8, 8, 30, 25, 7, 24, 7, 13, 4, 8, 9, 25, 0, 5, 5]"
eyYEBo4PBTvd9KK3h,[],"[61, 0]"
TXZGmeWKc9F9o9mXA,"[7, 9, 4, 2, 19]","[22, 17, 22, 44, 0, 69, 9, 98, 8, 19, 19, 7, 1, 8, 26, 3, 2, 26, 77, 102, 7, 66, 0, 120, 65, 5, 2, 42, 1, 66, 12, 12, 126, 32, 0, 24, 24, 43, 77, 55, 44, 55, 51, 67, 5, 14, 136, 49, 24]"
fvRvdN72q5gJz8Mo9,[],"[11, 11, 9, 36, 23, 25]"
AWPRmbwHt6ufEAKtc,[],[]
LspevonRq6xsfYjBR,[],"[24, 0, 13, 17, 22, 40, 32, 7, 6, 7, 25, 7, 95, 47, 1, 7, 73, 16, 19, 71, 28, 8, 77, 32, 110, 119, 7, 42, 53, 36, 63, 1, 69, 11, 57, 46, 84, 2, 31, 64, 2, 7]"
H4PY2caqHXT7SBt6H,"[7, 5, 6]","[25, 1, 15, 14, 1, 17, 23, 13, 19, 5, 21, 20, 1, 51, 5, 7, 13, 5, 1, 10, 2, 12, 26, 0, 0, 0, 0, 0, 56, 0, 0, 9, 59, 34, 17, 14, 15, 34, 6, 7, 1, 2, 5, 6, 4, 6, 7, 4, 65, 7, 11, 7, 69, 8, 8, 42, 72, 0, 25, 0, 4, 0, 0, 56, 111, 7, 6, 6, 6, 6, 13, 10, 44]"
8NNERmyDkJSKt8y3L,[0],"[22, 17, 22, 15, 7, 9, 6, 0, 10, 2, 4, 28, 31, 0, 2, 10, 4, 10, 78, 49, 84, 81, 19, 125]"
k6QtsJvLX2wheNNSW,"[1, 42, 6, 22, 6, 11, 0, 22, 1, 4, 4, 27]","[66, 2, 4, 2, 14, 15, 52, 24, 11, 9, 7, 14, 66, 66, 21, 10, 20, 28, 1, 7, 4, 20, 0, 46, 36, 1, 52, 7, 8, 7, 35, 0, 0, 65]"
tGam2CchNBq52q4dj,[],"[24, 17, 0, 29, 7, 47, 15, 23, 26, 30]"
6sFWsGrZJkhRN2nDn,"[7, 3, 9, 2, 4, 1, 15, 1, 16, 0, 4]","[8, 7, 7, 15, 2, 4, 11, 7, 23, 10, 36, 21, 20, 27, 2, 4, 17, 87, 0, 4, 14, 27, 6, 24, 25, 29, 9, 25, 10, 7, 57, 59, 0, 4, 13, 14, 20, 24, 11, 61, 54, 7, 7, 7, 9, 50, 49, 7, 20, 29, 9, 0, 0, 17, 9, 42]"
CkJ7Yebbk2Bjfartt,[1],[]
C5uCNemjzn73dcQ27,"[1, 12, 6]","[13, 17, 0, 21, 41, 21, 26, 26, 11, 11, 42, 11, 33, 12, 22, 67, 31, 41, 14, 15, 24, 7, 32, 33, 2, 63, 67, 10, 25, 52, 45, 4, 8, 8, 4, 23, 11, 139, 58, 1, 1, 1, 19, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
hL799QiGo4ckcggq6,[],[]
QhKvJf8W8BD42Npnw,[],"[40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
yhFc9eCu9cEeo4u5T,[],"[29, 21, 24, 31, 22, 5]"
WXHCxxwTMwENjuE9D,[],"[13, 5, 21, 17, 20, 12, 17, 22, 22, 57, 53, 0, 28, 7, 16, 25, 25, 29, 5, 5, 4, 23, 33, 9, 9, 9, 54, 14, 9, 9, 13, 42, 11, 39, 9, 0, 9, 21, 36, 14, 6, 51, 19, 54, 23, 21, 7, 56, 49, 37, 7, 18, 11, 21, 42, 7, 68, 7, 0, 7, 27, 7, 7, 36, 7, 47, 7, 35, 7, 42, 0, 11, 10, 10, 10, 9, 76, 28, 58, 28, 7, 65, 0, 0, 8, 13, 17, 12, 9, 17, 5, 29, 7, 7, 7, 15, 7, 28, 12, 6, 12, 27, 32, 7, 28, 10]"
